Match ID,Fighter_total,odds_total,ev_total,date_total,location_total,country_total,winner_total,weight_class_total,gender_total,no_of_rounds_total,total_draw,total_losses,total_win_by_KO/TKO,total_win_by_submission,total_win_by_TKO_Doctor_stoppage,total_wins,total_stance,total_height,total_reach,total_weight,total_age,finish
67,Paulo Thiago,-218,45.87155963,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Welterweight,MALE,3,0,1,1,1,0,3,Orthodox,180.34,185.42,170,29,U-DEC
68,Ben Rothwell,170,170,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Heavyweight,MALE,3,0,1,0,0,0,0,Orthodox,193.04,198.12,265,28,U-DEC
69,Carlos Condit,118,118,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Welterweight,MALE,3,0,1,0,0,0,1,Orthodox,187.96,190.5,170,26,KO/TKO
70,Tyson Griffin,-180,55.55555556,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Lightweight,MALE,3,0,2,1,1,0,7,Orthodox,167.64,172.72,145,26,S-DEC
71,Mac Danzig,-102,98.03921569,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Lightweight,MALE,3,0,3,0,2,0,3,Orthodox,172.72,177.8,155,30,SUB
72,David Loiseau,205,205,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Middleweight,MALE,3,0,4,2,0,2,4,Orthodox,182.88,193.04,185,30,KO/TKO
73,James Wilks,-325,30.76923077,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Welterweight,MALE,3,0,1,0,1,0,1,Orthodox,185.42,190.5,170,32,U-DEC
74,Ricardo Funch,215,215,6/12/2010,"Vancouver, British Columbia, Canada", Canada,0,Welterweight,MALE,3,0,1,0,0,0,0,Southpaw,177.8,193.04,170,29,SUB
75,Mike Pyle,110,110,6/12/2010,"Vancouver, British Columbia, Canada", Canada,1,Welterweight,MALE,3,0,2,0,1,0,1,Orthodox,182.88,187.96,170,34,SUB
76,Court McGee,-220,45.45454545,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,180.34,190.5,170,25,SUB
77,Keith Jardine,140,140,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,6,2,0,0,6,Orthodox,187.96,193.04,185,34,M-DEC
78,Chris Leben,280,280,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,5,5,1,0,9,Southpaw,180.34,187.96,185,29,KO/TKO
79,Spencer Fisher,-190,52.63157895,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Lightweight,MALE,3,0,4,2,2,1,8,Southpaw,170.18,177.8,155,34,U-DEC
80,Jamie Yager,120,120,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,185.42,185,185,26,KO/TKO
81,John Gunderson,-200,50,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,1,0,0,0,0,Orthodox,175.26,175.26,155,31,U-DEC
82,Brad Tavares,-220,45.45454545,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,185.42,187.96,185,22,U-DEC
83,Josh Bryant,155,155,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,177.8,185.42,185,30,KO/TKO
84,Chris Camozzi,-160,62.5,6/19/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,0,0,0,0,Orthodox,187.96,193.04,185,23,U-DEC
85,James McSweeney,165,165,6/19/2010,"Las Vegas, Nevada, USA", USA,0,Heavyweight,MALE,3,0,0,1,0,0,1,Switch,193.04,195.58,230,29,KO/TKO
86,Brock Lesnar,-145,68.96551724,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Heavyweight,MALE,5,0,1,2,0,0,3,Orthodox,190.5,205.74,265,32,SUB
87,Chris Leben,177,177,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,5,6,1,0,10,Southpaw,180.34,187.96,185,29,SUB
88,Chris Lytle,-180,55.55555556,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Welterweight,MALE,3,0,9,1,4,0,7,Orthodox,180.34,172.72,170,35,SUB
89,Krzysztof Soszynski,-190,52.63157895,7/3/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,1,1,2,1,4,Open Stance,185.42,195.58,205,32,KO/TKO
90,George Sotiropoulos,-158,63.29113924,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Lightweight,MALE,3,0,0,1,3,0,5,Orthodox,177.8,180.34,155,32,U-DEC
91,Brendan Schaub,-305,32.78688525,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Heavyweight,MALE,3,0,1,1,0,0,1,Orthodox,193.04,198.12,245,27,KO/TKO
92,Seth Petruzelli,150,150,7/3/2010,"Las Vegas, Nevada, USA", USA,0,Light Heavyweight,MALE,3,0,2,0,0,0,0,Orthodox,182.88,193.04,205,30,SUB
93,Kendall Grove,130,130,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,4,2,2,0,6,Orthodox,198.12,200.66,185,27,S-DEC
94,Gerald Harris,-250,40,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Middleweight,MALE,3,0,0,2,0,0,2,Southpaw,180.34,195.58,185,30,KO/TKO
95,Forrest Petz,170,170,7/3/2010,"Las Vegas, Nevada, USA", USA,0,Welterweight,MALE,3,0,3,0,0,0,2,Orthodox,175.26,180.34,170,34,S-DEC
96,Jon Madsen,125,125,7/3/2010,"Las Vegas, Nevada, USA", USA,1,Heavyweight,MALE,3,0,0,0,0,0,2,Orthodox,182.88,182.88,240,30,U-DEC
97,Jon Jones,-752,13.29787234,8/1/2010,"San Diego, California, USA", USA,1,Light Heavyweight,MALE,3,0,1,1,1,0,4,Orthodox,193.04,213.36,205,23,KO/TKO
98,Mark Munoz,185,185,8/1/2010,"San Diego, California, USA", USA,0,Middleweight,MALE,3,0,1,2,0,0,3,Orthodox,182.88,182.88,185,32,S-DEC
99,John Howard,181,181,8/1/2010,"San Diego, California, USA", USA,0,Welterweight,MALE,3,0,0,2,0,0,4,Orthodox,170.18,180.34,170,27,KO/TKO
100,Tyson Griffin,-320,31.25,8/1/2010,"San Diego, California, USA", USA,0,Lightweight,MALE,3,0,3,1,1,0,7,Orthodox,167.64,172.72,145,26,KO/TKO
101,Paul Kelly,-105,95.23809524,8/1/2010,"San Diego, California, USA", USA,0,Lightweight,MALE,3,0,2,0,1,0,4,Orthodox,175.26,177.8,155,25,U-DEC
102,DaMarques Johnson,180,180,8/1/2010,"San Diego, California, USA", USA,0,Welterweight,MALE,3,0,1,1,1,0,2,Orthodox,185.42,190.5,170,28,KO/TKO
103,James Irvin,-160,62.5,8/1/2010,"San Diego, California, USA", USA,0,Light Heavyweight,MALE,3,0,5,3,0,0,4,Orthodox,187.96,190.5,205,31,SUB
104,Brian Stann,180,180,8/1/2010,"San Diego, California, USA", USA,1,Middleweight,MALE,3,0,2,0,0,0,2,Orthodox,185.42,187.96,205,29,SUB
105,Darren Elkins,200,200,8/1/2010,"San Diego, California, USA", USA,0,Lightweight,MALE,3,0,0,1,0,0,1,Orthodox,177.8,180.34,145,26,SUB
106,Rob Kimmons,-195,51.28205128,8/1/2010,"San Diego, California, USA", USA,1,Middleweight,MALE,3,0,2,0,2,0,2,Orthodox,177.8,185.42,185,29,U-DEC
107,Anderson Silva,-460,21.73913043,8/7/2010,"Oakland, California, USA", USA,1,Middleweight,MALE,5,0,0,7,2,0,11,Southpaw,187.96,195.58,185,35,SUB
108,Jon Fitch,116,116,8/7/2010,"Oakland, California, USA", USA,1,Welterweight,MALE,3,0,1,1,3,0,12,Orthodox,182.88,193.04,170,32,U-DEC
109,Clay Guida,116,116,8/7/2010,"Oakland, California, USA", USA,1,Lightweight,MALE,3,0,5,1,2,0,6,Orthodox,170.18,177.8,155,28,SUB
110,Matt Hughes,178,178,8/7/2010,"Oakland, California, USA", USA,1,Welterweight,MALE,3,0,5,6,4,2,17,Switch,175.26,185.42,170,36,SUB
111,Roy Nelson,315,315,8/7/2010,"Oakland, California, USA", USA,0,Heavyweight,MALE,3,0,0,2,0,0,2,Orthodox,182.88,182.88,263,34,U-DEC
112,Dustin Hazelett,-150,66.66666667,8/7/2010,"Oakland, California, USA", USA,0,Welterweight,MALE,3,0,3,0,4,0,5,Orthodox,185.42,193.04,170,24,KO/TKO
113,Rodney Wallace,600,600,8/7/2010,"Oakland, California, USA", USA,0,Light Heavyweight,MALE,3,0,2,0,0,0,0,Switch,175.26,182.88,205,28,U-DEC
114,Johny Hendricks,-370,27.02702703,8/7/2010,"Oakland, California, USA", USA,1,Welterweight,MALE,3,0,0,1,0,0,3,Southpaw,175.26,175.26,185,26,KO/TKO
115,Todd Brown,290,290,8/7/2010,"Oakland, California, USA", USA,0,Light Heavyweight,MALE,3,0,0,0,0,0,0,Orthodox,180.34,188,205,33,U-DEC
116,Stefan Struve,-200,50,8/7/2010,"Oakland, California, USA", USA,1,Heavyweight,MALE,3,0,2,0,2,0,3,Orthodox,210.82,213.36,265,22,KO/TKO
117,Ben Saunders,-300,33.33333333,8/7/2010,"Oakland, California, USA", USA,0,Welterweight,MALE,3,0,2,2,1,0,4,Orthodox,187.96,195.58,170,27,U-DEC
118,Frankie Edgar,248,248,8/28/2010,"Boston, Massachusetts, USA", USA,1,Lightweight,MALE,5,0,1,1,1,0,7,Orthodox,167.64,172.72,145,28,U-DEC
119,Randy Couture,-600,16.66666667,8/28/2010,"Boston, Massachusetts, USA", USA,1,Heavyweight,MALE,3,0,7,6,3,1,15,Orthodox,185.42,190.5,205,47,SUB
120,Demian Maia,-210,47.61904762,8/28/2010,"Boston, Massachusetts, USA", USA,1,Middleweight,MALE,3,0,2,0,5,0,6,Southpaw,185.42,182.88,170,32,U-DEC
121,Kenny Florian,-140,71.42857143,8/28/2010,"Boston, Massachusetts, USA", USA,0,Lightweight,MALE,3,0,3,2,7,1,11,Southpaw,177.8,187.96,145,34,U-DEC
122,Nate Diaz,-190,52.63157895,8/28/2010,"Boston, Massachusetts, USA", USA,1,Welterweight,MALE,3,0,3,1,5,0,7,Southpaw,182.88,193.04,170,25,SUB
123,Joe Lauzon,-320,31.25,8/28/2010,"Boston, Massachusetts, USA", USA,1,Lightweight,MALE,3,0,2,2,3,0,5,Orthodox,177.8,180.34,155,26,SUB
124,Andre Winner,-115,86.95652174,8/28/2010,"Boston, Massachusetts, USA", USA,0,Lightweight,MALE,3,0,1,1,0,0,2,Orthodox,180.34,185.42,155,28,U-DEC
125,Dan Miller,-230,43.47826087,8/28/2010,"Boston, Massachusetts, USA", USA,1,Middleweight,MALE,3,0,3,0,2,0,3,Orthodox,185.42,187.96,185,29,SUB
126,Nick Osipczak,-200,50,8/28/2010,"Boston, Massachusetts, USA", USA,0,Welterweight,MALE,3,0,1,1,1,0,2,Orthodox,187.96,193.04,170,25,U-DEC
127,Mike Pierce,-325,30.76923077,8/28/2010,"Boston, Massachusetts, USA", USA,1,Welterweight,MALE,3,0,1,0,0,0,2,Orthodox,172.72,177.8,170,29,SUB
128,Nate Marquardt,-235,42.55319149,9/15/2010,"Austin, Texas, USA", USA,1,Middleweight,MALE,3,0,3,3,2,0,8,Orthodox,182.88,187.96,185,31,KO/TKO
129,Efrain Escudero,-155,64.51612903,9/15/2010,"Austin, Texas, USA", USA,0,Lightweight,MALE,3,0,1,1,0,0,3,Orthodox,175.26,177.8,155,24,SUB
130,Jim Miller,-125,80,9/15/2010,"Austin, Texas, USA", USA,1,Lightweight,MALE,3,0,1,1,2,0,6,Southpaw,172.72,180.34,155,27,U-DEC
131,Cole Miller,190,190,9/15/2010,"Austin, Texas, USA", USA,1,Lightweight,MALE,3,0,2,1,3,0,5,Orthodox,185.42,187.96,145,26,SUB
132,Yves Edwards,105,105,9/15/2010,"Austin, Texas, USA", USA,1,Lightweight,MALE,3,0,4,3,1,0,6,Southpaw,175.26,185.42,155,33,U-DEC
